START.DATE,END.DATE,CONTACT.TYPE,Contacts
2010-08-03,2010-08-03,Mail - Recieved,3
2010-08-03,2010-08-03,Visit,451
2010-08-03,2010-08-03,Web - Input,211
2010-08-04,2010-08-04,Call - Input,2977
2010-08-04,2010-08-04,Fax - Input,31
2010-08-04,2010-08-04,Fax Acknowledgement - Input,1
2010-08-04,2010-08-04,Internal Management,17
2010-08-04,2010-08-04,Mail - Input,18
2010-08-04,2010-08-04,Mail - Recieved,7
2010-08-04,2010-08-04,Visit,420
2010-08-04,2010-08-04,Web - Input,223
2010-08-05,2010-08-05,Call - Input,2713
2010-08-05,2010-08-05,Fax - Input,30
2010-08-05,2010-08-05,Fax Acknowledgement - Input,6
2010-08-05,2010-08-05,Internal Management,12
2010-08-05,2010-08-05,Mail - Input,23
2010-08-05,2010-08-05,Mail - Recieved,6
2010-08-05,2010-08-05,Visit,388
2010-08-05,2010-08-05,Web - Input,245
2010-08-06,2010-08-06,Call - Input,2390
2010-08-06,2010-08-06,Fax - Input,30
2010-08-06,2010-08-06,Fax Acknowledgement - Input,7
2010-08-06,2010-08-06,Internal Management,30
2010-08-06,2010-08-06,Mail - Input,8
2010-08-06,2010-08-06,Mail - Recieved,3
2010-08-06,2010-08-06,Visit,374
2010-08-06,2010-08-06,Web - Input,217
2010-08-07,2010-08-07,Call - Input,164
2010-08-07,2010-08-07,Web - Input,89
2010-08-08,2010-08-08,Call - Input,123
2010-08-08,2010-08-08,Web - Input,86
2010-08-08,2010-08-09,Call - Input,1
2010-08-09,2010-08-09,Call - Input,2921
2010-08-09,2010-08-09,Fax - Input,27
2010-08-09,2010-08-09,Fax Acknowledgement - Input,7
2010-08-09,2010-08-09,Internal Management,24
2010-08-09,2010-08-09,Mail - Input,34
2010-08-09,2010-08-09,Mail - Recieved,3
2010-08-09,2010-08-09,Visit,412
2010-08-09,2010-08-09,Web - Input,245
2010-08-10,2010-08-10,Call - Input,2480
2010-08-10,2010-08-10,Fax - Input,22
2010-08-10,2010-08-10,Fax Acknowledgement - Input,4
2010-08-10,2010-08-10,Internal Management,32
2010-08-10,2010-08-10,Mail - Input,21
2010-08-10,2010-08-10,Mail - Recieved,1
2010-08-10,2010-08-10,Visit,345
2010-08-10,2010-08-10,Web - Input,215
2010-08-11,2010-08-11,Call - Input,2723
2010-08-11,2010-08-11,Fax - Input,23
2010-08-11,2010-08-11,Fax Acknowledgement - Input,1
2010-08-11,2010-08-11,Internal Management,21
2010-08-11,2010-08-11,Mail - Input,5
2010-08-11,2010-08-11,Mail - Recieved,9
2010-08-11,2010-08-11,Visit,323
2010-08-11,2010-08-11,Web - Input,193
2010-08-11,2010-08-12,Call - Input,2
2010-08-12,2010-08-12,Call - Input,2312
2010-08-12,2010-08-12,Fax - Input,25
2010-08-12,2010-08-12,Fax Acknowledgement - Input,5
2010-08-12,2010-08-12,Internal Management,13
2010-08-12,2010-08-12,Mail - Input,14
2010-08-12,2010-08-12,Mail - Recieved,4
2010-08-12,2010-08-12,Visit,273
2010-08-12,2010-08-12,Web - Input,200
2010-08-13,2010-08-13,Call - Input,1812
2010-08-13,2010-08-13,Fax - Input,13
2010-08-13,2010-08-13,Internal Management,9
2010-08-13,2010-08-13,Mail - Input,8
2010-08-13,2010-08-13,Mail - Recieved,2
2010-08-13,2010-08-13,Visit,246
2010-08-13,2010-08-13,Web - Input,166
2010-08-14,2010-08-14,Call - Input,140
2010-08-14,2010-08-14,Web - Input,88
2010-08-15,2010-08-15,Call - Input,99
2010-08-15,2010-08-15,Web - Input,78
2010-08-15,2010-08-16,Call - Input,1
2010-08-16,2010-08-16,Call - Input,2149
2010-08-16,2010-08-16,Fax - Input,21
2010-08-16,2010-08-16,Fax Acknowledgement - Input,2
2010-08-16,2010-08-16,Internal Management,2
2010-08-16,2010-08-16,Mail - Input,16
2010-08-16,2010-08-16,Mail - Recieved,9
2010-08-16,2010-08-16,Visit,322
2010-08-16,2010-08-16,Web - Input,213
2010-08-17,2010-08-17,Call - Input,2188
2010-08-17,2010-08-17,Fax - Input,23
2010-08-17,2010-08-17,Fax Acknowledgement - Input,4
2010-08-17,2010-08-17,Internal Management,27
2010-08-17,2010-08-17,Mail - Input,22
2010-08-17,2010-08-17,Mail - Recieved,10
2010-08-17,2010-08-17,Visit,284
2010-08-17,2010-08-17,Web - Input,167
2010-08-18,2010-08-18,Call - Input,2207
2010-08-18,2010-08-18,Fax - Input,15
2010-08-18,2010-08-18,Fax Acknowledgement - Input,2
2010-08-18,2010-08-18,Internal Management,18
2010-08-18,2010-08-18,Mail - Input,14
2010-08-18,2010-08-18,Mail - Recieved,4
2010-08-18,2010-08-18,Visit,267
2010-08-18,2010-08-18,Web - Input,203
2010-08-18,2010-08-19,Call - Input,1
2010-08-19,2010-08-19,Call - Input,2194
2010-08-19,2010-08-19,Fax - Input,16
2010-08-19,2010-08-19,Fax Acknowledgement - Input,4
2010-08-19,2010-08-19,Internal Management,8
2010-08-19,2010-08-19,Mail - Input,22
2010-08-19,2010-08-19,Mail - Recieved,5
2010-08-19,2010-08-19,Visit,255
2010-08-19,2010-08-19,Web - Input,210
2010-08-20,2010-08-20,Call - Input,1689
2010-08-20,2010-08-20,Fax - Input,10
2010-08-20,2010-08-20,Fax Acknowledgement - Input,3
2010-08-20,2010-08-20,Internal Management,16
2010-08-20,2010-08-20,Mail - Input,11
2010-08-20,2010-08-20,Mail - Recieved,6
2010-08-20,2010-08-20,Visit,214
2010-08-20,2010-08-20,Web - Input,165
2010-08-21,2010-08-21,Call - Input,183
2010-08-21,2010-08-21,Web - Input,66
2010-08-22,2010-08-22,Call - Input,538
2010-08-22,2010-08-22,Web - Input,74
2010-08-23,2010-08-23,Call - Input,2906
2010-08-23,2010-08-23,Fax - Input,17
2010-08-23,2010-08-23,Fax Acknowledgement - Input,4
2010-08-23,2010-08-23,Internal Management,19
2010-08-23,2010-08-23,Mail - Input,9
2010-08-23,2010-08-23,Mail - Recieved,2
2010-08-23,2010-08-23,Visit,312
2010-08-23,2010-08-23,Web - Input,275
2010-08-24,2010-08-24,Call - Input,2919
2010-08-24,2010-08-24,Fax - Input,22
2010-08-24,2010-08-24,Fax Acknowledgement - Input,5
2010-08-24,2010-08-24,Internal Management,27
2010-08-24,2010-08-24,Mail - Input,11
2010-08-24,2010-08-24,Mail - Recieved,6
2010-08-24,2010-08-24,Visit,326
2010-08-24,2010-08-24,Web - Input,229
2010-08-25,2010-08-25,Call - Input,2658
2010-08-25,2010-08-25,Fax - Input,20
2010-08-25,2010-08-25,Fax Acknowledgement - Input,2
2010-08-25,2010-08-25,Internal Management,14
2010-08-25,2010-08-25,Mail - Input,3
2010-08-25,2010-08-25,Mail - Recieved,5
2010-08-25,2010-08-25,Visit,321
2010-08-25,2010-08-25,Web - Input,217
2010-08-25,2010-08-26,Call - Input,2
2010-08-26,2010-08-26,Call - Input,2704
2010-08-26,2010-08-26,Fax - Input,25
2010-08-26,2010-08-26,Fax Acknowledgement - Input,9
2010-08-26,2010-08-26,Internal Management,45
2010-08-26,2010-08-26,Mail - Input,7
2010-08-26,2010-08-26,Mail - Recieved,3
2010-08-26,2010-08-26,Visit,301
2010-08-26,2010-08-26,Web - Input,201
2010-08-26,2010-08-27,Call - Input,1
2010-08-27,2010-08-27,Call - Input,2212
2010-08-27,2010-08-27,Fax - Input,29
2010-08-27,2010-08-27,Internal Management,25
2010-08-27,2010-08-27,Mail - Input,11
2010-08-27,2010-08-27,Mail - Recieved,4
2010-08-27,2010-08-27,Visit,254
2010-08-27,2010-08-27,Web - Input,209
2010-08-28,2010-08-28,Call - Input,311
2010-08-28,2010-08-28,Web - Input,96
2010-08-29,2010-08-29,Call - Input,268
2010-08-29,2010-08-29,Web - Input,116
2010-08-30,2010-08-30,Call - Input,3645
2010-08-30,2010-08-30,Fax - Input,28
2010-08-30,2010-08-30,Fax Acknowledgement - Input,5
2010-08-30,2010-08-30,Internal Management,14
2010-08-30,2010-08-30,Mail - Input,11
2010-08-30,2010-08-30,Mail - Recieved,6
2010-08-30,2010-08-30,Visit,359
2010-08-30,2010-08-30,Web - Input,351
2010-08-31,2010-08-31,Call - Input,3489
2010-08-31,2010-08-31,Fax - Input,34
2010-08-31,2010-08-31,Fax Acknowledgement - Input,7
2010-08-31,2010-08-31,Internal Management,11
2010-08-31,2010-08-31,Mail - Input,11
2010-08-31,2010-08-31,Mail - Recieved,5
2010-08-31,2010-08-31,Visit,433
2010-08-31,2010-08-31,Web - Input,338
2010-09-01,2010-09-01,Call - Input,3609
2010-09-01,2010-09-01,Fax - Input,40
2010-09-01,2010-09-01,Fax Acknowledgement - Input,15
2010-09-01,2010-09-01,Internal Management,20
2010-09-01,2010-09-01,Mail - Input,4
2010-09-01,2010-09-01,Mail - Recieved,1
2010-09-01,2010-09-01,Visit,397
2010-09-01,2010-09-01,Web - Input,351
2010-09-02,2010-09-02,Call - Input,3820
2010-09-02,2010-09-02,Fax - Input,25
2010-09-02,2010-09-02,Fax Acknowledgement - Input,7
2010-09-02,2010-09-02,Internal Management,37
2010-09-02,2010-09-02,Mail - Input,13
2010-09-02,2010-09-02,Mail - Recieved,4
2010-09-02,2010-09-02,Visit,454
2010-09-02,2010-09-02,Web - Input,306
2010-09-03,2010-09-03,Call - Input,3383
2010-09-03,2010-09-03,Fax - Input,43
2010-09-03,2010-09-03,Fax Acknowledgement - Input,10
2010-09-03,2010-09-03,Internal Management,36
2010-09-03,2010-09-03,Mail - Input,6
2010-09-03,2010-09-03,Mail - Recieved,1
2010-09-03,2010-09-03,Visit,348
2010-09-03,2010-09-03,Web - Input,223
2010-09-03,2010-09-04,Call - Input,1
2010-09-04,2010-09-04,Call - Input,199
2010-09-04,2010-09-04,Web - Input,132
2010-09-05,2010-09-05,Call - Input,95
2010-09-05,2010-09-05,Web - Input,82
2010-09-06,2010-09-06,Call - Input,4358
2010-09-06,2010-09-06,Fax - Input,34
2010-09-06,2010-09-06,Fax Acknowledgement - Input,4
2010-09-06,2010-09-06,Internal Management,24
2010-09-06,2010-09-06,Mail - Input,13
2010-09-06,2010-09-06,Mail - Recieved,8
2010-09-06,2010-09-06,Visit,433
2010-09-06,2010-09-06,Web - Input,315
2010-09-07,2010-09-07,Call - Input,3731
2010-09-07,2010-09-07,Fax - Input,44
2010-09-07,2010-09-07,Fax Acknowledgement - Input,8
2010-09-07,2010-09-07,Internal Management,55
2010-09-07,2010-09-07,Mail - Input,3
2010-09-07,2010-09-07,Mail - Recieved,5
2010-09-07,2010-09-07,Visit,455
2010-09-07,2010-09-07,Web - Input,309
2010-09-08,2010-09-08,Call - Input,3440
2010-09-08,2010-09-08,Fax - Input,32
2010-09-08,2010-09-08,Fax Acknowledgement - Input,7
2010-09-08,2010-09-08,Internal Management,27
2010-09-08,2010-09-08,Mail - Input,16
2010-09-08,2010-09-08,Mail - Recieved,3
2010-09-08,2010-09-08,Visit,422
2010-09-08,2010-09-08,Web - Input,277
2010-09-09,2010-09-09,Call - Input,3265
2010-09-09,2010-09-09,Fax - Input,50
2010-09-09,2010-09-09,Fax Acknowledgement - Input,13
2010-09-09,2010-09-09,Internal Management,51
2010-09-09,2010-09-09,Mail - Input,11
2010-09-09,2010-09-09,Mail - Recieved,5
2010-09-09,2010-09-09,Visit,375
2010-09-09,2010-09-09,Web - Input,241
2010-09-10,2010-09-10,Call - Input,2851
2010-09-10,2010-09-10,Fax - Input,55
2010-09-10,2010-09-10,Fax Acknowledgement - Input,14
2010-09-10,2010-09-10,Internal Management,59
2010-09-10,2010-09-10,Mail - Input,15
2010-09-10,2010-09-10,Mail - Recieved,3
2010-09-10,2010-09-10,Visit,382
2010-09-10,2010-09-10,Web - Input,235
2010-09-11,2010-09-11,Call - Input,129
2010-09-11,2010-09-11,Web - Input,144
2010-09-12,2010-09-12,Call - Input,216
2010-09-12,2010-09-12,Web - Input,137
2010-09-13,2010-09-13,Call - Input,4085
2010-09-13,2010-09-13,Fax - Input,49
2010-09-13,2010-09-13,Fax Acknowledgement - Input,8
2010-09-13,2010-09-13,Internal Management,116
2010-09-13,2010-09-13,Mail - Input,14
2010-09-13,2010-09-13,Mail - Recieved,12
2010-09-13,2010-09-13,Visit,447
2010-09-13,2010-09-13,Web - Input,333
2010-09-14,2010-09-14,Call - Input,3758
2010-09-14,2010-09-14,Fax - Input,64
2010-09-14,2010-09-14,Fax Acknowledgement - Input,10
2010-09-14,2010-09-14,Internal Management,112
2010-09-14,2010-09-14,Mail - Input,13
2010-09-14,2010-09-14,Mail - Recieved,6
2010-09-14,2010-09-14,Visit,463
2010-09-14,2010-09-14,Web - Input,531
2010-09-14,2010-09-15,Call - Input,1
2010-09-15,2010-09-15,Call - Input,3668
2010-09-15,2010-09-15,Fax - Input,34
2010-09-15,2010-09-15,Fax Acknowledgement - Input,7
2010-09-15,2010-09-15,Internal Management,182
2010-09-15,2010-09-15,Mail - Input,11
2010-09-15,2010-09-15,Mail - Recieved,4
2010-09-15,2010-09-15,Visit,406
2010-09-15,2010-09-15,Web - Input,425
2010-09-15,2010-09-16,Call - Input,1
2010-09-16,2010-09-16,Call - Input,3322
2010-09-16,2010-09-16,Fax - Input,59
2010-09-16,2010-09-16,Fax Acknowledgement - Input,16
2010-09-16,2010-09-16,Internal Management,95
2010-09-16,2010-09-16,Mail - Input,9
2010-09-16,2010-09-16,Mail - Recieved,6
2010-09-16,2010-09-16,Visit,415
2010-09-16,2010-09-16,Web - Input,498
2010-09-17,2010-09-17,Call - Input,2715
2010-09-17,2010-09-17,Fax - Input,45
2010-09-17,2010-09-17,Fax Acknowledgement - Input,6
2010-09-17,2010-09-17,Internal Management,90
2010-09-17,2010-09-17,Mail - Input,14
2010-09-17,2010-09-17,Mail - Recieved,7
2010-09-17,2010-09-17,Visit,335
2010-09-17,2010-09-17,Web - Input,480
2010-09-18,2010-09-18,Call - Input,187
2010-09-18,2010-09-18,Web - Input,177
2010-09-19,2010-09-19,Call - Input,203
2010-09-19,2010-09-19,Web - Input,217
2010-09-20,2010-09-20,Call - Input,3781
2010-09-20,2010-09-20,Fax - Input,40
2010-09-20,2010-09-20,Fax Acknowledgement - Input,4
2010-09-20,2010-09-20,Internal Management,82
2010-09-20,2010-09-20,Mail - Input,11
2010-09-20,2010-09-20,Mail - Recieved,13
2010-09-20,2010-09-20,Visit,461
2010-09-20,2010-09-20,Web - Input,576
2010-09-21,2010-09-21,Call - Input,3701
2010-09-21,2010-09-21,Fax - Input,66
2010-09-21,2010-09-21,Fax Acknowledgement - Input,10
2010-09-21,2010-09-21,Internal Management,96
2010-09-21,2010-09-21,Mail - Input,13
2010-09-21,2010-09-21,Mail - Recieved,8
2010-09-21,2010-09-21,Visit,407
2010-09-21,2010-09-21,Web - Input,713
2010-09-22,2010-09-22,Call - Input,3362
2010-09-22,2010-09-22,Fax - Input,56
2010-09-22,2010-09-22,Fax Acknowledgement - Input,8
2010-09-22,2010-09-22,Internal Management,104
2010-09-22,2010-09-22,Mail - Input,21
2010-09-22,2010-09-22,Mail - Recieved,5
2010-09-22,2010-09-22,Visit,401
2010-09-22,2010-09-22,Web - Input,681
2010-09-23,2010-09-23,Call - Input,3232
2010-09-23,2010-09-23,Fax - Input,52
2010-09-23,2010-09-23,Fax Acknowledgement - Input,2
2010-09-23,2010-09-23,Internal Management,34
2010-09-23,2010-09-23,Mail - Input,17
2010-09-23,2010-09-23,Mail - Recieved,8
2010-09-23,2010-09-23,Visit,373
2010-09-23,2010-09-23,Web - Input,554
2010-09-24,2010-09-24,Call - Input,996
2010-09-24,2010-09-24,Fax - Input,7
2010-09-24,2010-09-24,Fax Acknowledgement - Input,1
2010-09-24,2010-09-24,Internal Management,4
2010-09-24,2010-09-24,Mail - Input,2
2010-09-24,2010-09-24,Mail - Recieved,2
2010-09-24,2010-09-24,Visit,126
2010-09-24,2010-09-24,Web - Input,373
2010-09-25,2010-09-25,Call - Input,152
2010-09-25,2010-09-25,Web - Input,215
2010-09-26,2010-09-26,Call - Input,147
2010-09-26,2010-09-26,Web - Input,297
2010-09-26,2010-09-27,Call - Input,1
2010-09-27,2010-09-27,Call - Input,3985
2010-09-27,2010-09-27,Fax - Input,43
2010-09-27,2010-09-27,Fax Acknowledgement - Input,10
2010-09-27,2010-09-27,Internal Management,134
2010-09-27,2010-09-27,Mail - Input,22
2010-09-27,2010-09-27,Mail - Recieved,5
2010-09-27,2010-09-27,Visit,481
2010-09-27,2010-09-27,Web - Input,562
2010-09-27,2010-09-28,Call - Input,1
2010-09-28,2010-09-28,Call - Input,3688
2010-09-28,2010-09-28,Fax - Input,52
2010-09-28,2010-09-28,Fax Acknowledgement - Input,16
2010-09-28,2010-09-28,Internal Management,74
2010-09-28,2010-09-28,Mail - Input,15
2010-09-28,2010-09-28,Mail - Recieved,8
2010-09-28,2010-09-28,Visit,420
2010-09-28,2010-09-28,Web - Input,602
2010-09-29,2010-09-29,Call - Input,1554
2010-09-29,2010-09-29,Fax - Input,34
2010-09-29,2010-09-29,Fax Acknowledgement - Input,14
2010-09-29,2010-09-29,Internal Management,401
2010-09-29,2010-09-29,Mail - Input,9
2010-09-29,2010-09-29,Mail - Recieved,2
2010-09-29,2010-09-29,Visit,2
2010-09-29,2010-09-29,Web - Input,535
2010-09-30,2010-09-30,Call - Input,3856
2010-09-30,2010-09-30,Fax - Input,58
2010-09-30,2010-09-30,Fax Acknowledgement - Input,5
2010-09-30,2010-09-30,Internal Management,111
2010-09-30,2010-09-30,Mail - Input,26
2010-09-30,2010-09-30,Mail - Recieved,6
2010-09-30,2010-09-30,Visit,477
2010-09-30,2010-09-30,Web - Input,480
2010-09-30,2010-10-01,Call - Input,2
2010-10-01,2010-10-01,Call - Input,3591
2010-10-01,2010-10-01,Fax - Input,48
2010-10-01,2010-10-01,Fax Acknowledgement - Input,12
2010-10-01,2010-10-01,Internal Management,53
2010-10-01,2010-10-01,Mail - Input,12
2010-10-01,2010-10-01,Mail - Recieved,3
2010-10-01,2010-10-01,Visit,451
2010-10-01,2010-10-01,Web - Input,418
2010-10-02,2010-10-02,Call - Input,166
2010-10-02,2010-10-02,Web - Input,294
2010-10-03,2010-10-03,Call - Input,118
2010-10-03,2010-10-03,Web - Input,245
2010-10-04,2010-10-04,Call - Input,4579
2010-10-04,2010-10-04,Fax - Input,47
2010-10-04,2010-10-04,Fax Acknowledgement - Input,7
2010-10-04,2010-10-04,Internal Management,46
2010-10-04,2010-10-04,Mail - Input,21
2010-10-04,2010-10-04,Mail - Recieved,11
2010-10-04,2010-10-04,Visit,578
2010-10-04,2010-10-04,Web - Input,487
2010-10-05,2010-10-05,Call - Input,4184
2010-10-05,2010-10-05,Fax - Input,72
2010-10-05,2010-10-05,Fax Acknowledgement - Input,19
2010-10-05,2010-10-05,Internal Management,138
2010-10-05,2010-10-05,Mail - Input,9
2010-10-05,2010-10-05,Mail - Recieved,11
2010-10-05,2010-10-05,Visit,561
2010-10-05,2010-10-05,Web - Input,577
2010-10-06,2010-10-06,Call - Input,4005
2010-10-06,2010-10-06,Fax - Input,53
2010-10-06,2010-10-06,Fax Acknowledgement - Input,3
2010-10-06,2010-10-06,Internal Management,110
2010-10-06,2010-10-06,Mail - Input,19
2010-10-06,2010-10-06,Mail - Recieved,7
2010-10-06,2010-10-06,Visit,538
2010-10-06,2010-10-06,Web - Input,663
2010-10-07,2010-10-07,Call - Input,3696
2010-10-07,2010-10-07,Fax - Input,72
2010-10-07,2010-10-07,Fax Acknowledgement - Input,10
2010-10-07,2010-10-07,Internal Management,59
2010-10-07,2010-10-07,Mail - Input,5
2010-10-07,2010-10-07,Mail - Recieved,13
2010-10-07,2010-10-07,Visit,468
2010-10-07,2010-10-07,Web - Input,592
2010-10-08,2010-10-08,Call - Input,2953
2010-10-08,2010-10-08,Fax - Input,44
2010-10-08,2010-10-08,Internal Management,39
2010-10-08,2010-10-08,Mail - Input,19
2010-10-08,2010-10-08,Mail - Recieved,6
2010-10-08,2010-10-08,Visit,419
2010-10-08,2010-10-08,Web - Input,547
2010-10-09,2010-10-09,Call - Input,217
2010-10-09,2010-10-09,Web - Input,322
2010-10-10,2010-10-10,Call - Input,225
2010-10-10,2010-10-10,Web - Input,317
2010-10-10,2010-10-11,Call - Input,1
2010-10-11,2010-10-11,Call - Input,2908
2010-10-11,2010-10-11,Fax - Input,24
2010-10-11,2010-10-11,Fax Acknowledgement - Input,9
2010-10-11,2010-10-11,Internal Management,29
2010-10-11,2010-10-11,Mail - Input,14
2010-10-11,2010-10-11,Mail - Recieved,3
2010-10-11,2010-10-11,Visit,434
2010-10-11,2010-10-11,Web - Input,431
2010-10-12,2010-10-12,Call - Input,104
2010-10-12,2010-10-12,Web - Input,435
2010-10-13,2010-10-13,Call - Input,3728
2010-10-13,2010-10-13,Fax - Input,50
2010-10-13,2010-10-13,Fax Acknowledgement - Input,9
2010-10-13,2010-10-13,Internal Management,123
2010-10-13,2010-10-13,Mail - Input,16
2010-10-13,2010-10-13,Mail - Recieved,3
2010-10-13,2010-10-13,Visit,466
2010-10-13,2010-10-13,Web - Input,422
2010-10-14,2010-10-14,Call - Input,3439
2010-10-14,2010-10-14,Fax - Input,48
2010-10-14,2010-10-14,Fax Acknowledgement - Input,10
2010-10-14,2010-10-14,Internal Management,29
2010-10-14,2010-10-14,Mail - Input,18
2010-10-14,2010-10-14,Mail - Recieved,9
2010-10-14,2010-10-14,Visit,477
2010-10-14,2010-10-14,Web - Input,384
2010-10-15,2010-10-15,Call - Input,3064
2010-10-15,2010-10-15,Fax - Input,35
2010-10-15,2010-10-15,Fax Acknowledgement - Input,10
2010-10-15,2010-10-15,Internal Management,10
2010-10-15,2010-10-15,Mail - Input,20
2010-10-15,2010-10-15,Mail - Recieved,5
2010-10-15,2010-10-15,Visit,381
2010-10-15,2010-10-15,Web - Input,385
2010-10-16,2010-10-16,Call - Input,188
2010-10-16,2010-10-16,Web - Input,185
2010-10-17,2010-10-17,Call - Input,129
2010-10-17,2010-10-17,Web - Input,220
2010-10-17,2010-10-18,Call - Input,1
2010-10-18,2010-10-18,Call - Input,3970
2010-10-18,2010-10-18,Fax - Input,48
2010-10-18,2010-10-18,Fax Acknowledgement - Input,8
2010-10-18,2010-10-18,Internal Management,61
2010-10-18,2010-10-18,Mail - Input,24
2010-10-18,2010-10-18,Mail - Recieved,9
2010-10-18,2010-10-18,Visit,544
2010-10-18,2010-10-18,Web - Input,483
2010-10-19,2010-10-19,Call - Input,3704
2010-10-19,2010-10-19,Fax - Input,74
2010-10-19,2010-10-19,Fax Acknowledgement - Input,7
2010-10-19,2010-10-19,Internal Management,139
2010-10-19,2010-10-19,Mail - Input,20
2010-10-19,2010-10-19,Mail - Recieved,5
2010-10-19,2010-10-19,Visit,501
2010-10-19,2010-10-19,Web - Input,438
2010-10-20,2010-10-20,Call - Input,3604
2010-10-20,2010-10-20,Fax - Input,45
2010-10-20,2010-10-20,Fax Acknowledgement - Input,5
2010-10-20,2010-10-20,Internal Management,82
2010-10-20,2010-10-20,Mail - Input,14
2010-10-20,2010-10-20,Mail - Recieved,9
2010-10-20,2010-10-20,Visit,521
2010-10-20,2010-10-20,Web - Input,470
2010-10-21,2010-10-21,Call - Input,3708
2010-10-21,2010-10-21,Fax - Input,50
2010-10-21,2010-10-21,Fax Acknowledgement - Input,12
2010-10-21,2010-10-21,Internal Management,66
2010-10-21,2010-10-21,Mail - Input,10
2010-10-21,2010-10-21,Mail - Recieved,1
2010-10-21,2010-10-21,Visit,443
2010-10-21,2010-10-21,Web - Input,487
2010-10-22,2010-10-22,Call - Input,3119
2010-10-22,2010-10-22,Fax - Input,52
2010-10-22,2010-10-22,Fax Acknowledgement - Input,8
2010-10-22,2010-10-22,Internal Management,49
2010-10-22,2010-10-22,Mail - Input,5
2010-10-22,2010-10-22,Mail - Recieved,9
2010-10-22,2010-10-22,Visit,376
2010-10-22,2010-10-22,Web - Input,302
2010-10-23,2010-10-23,Call - Input,206
2010-10-23,2010-10-23,Web - Input,27
2010-10-24,2010-10-24,Call - Input,382
2010-10-24,2010-10-24,Web - Input,265
2010-10-25,2010-10-25,Call - Input,4147
2010-10-25,2010-10-25,Fax - Input,79
2010-10-25,2010-10-25,Fax Acknowledgement - Input,23
2010-10-25,2010-10-25,Internal Management,80
2010-10-25,2010-10-25,Mail - Input,35
2010-10-25,2010-10-25,Mail - Recieved,2
2010-10-25,2010-10-25,Visit,524
2010-10-25,2010-10-25,Web - Input,538
2010-10-26,2010-10-26,Call - Input,3465
2010-10-26,2010-10-26,Fax - Input,58
2010-10-26,2010-10-26,Fax Acknowledgement - Input,12
2010-10-26,2010-10-26,Internal Management,40
2010-10-26,2010-10-26,Mail - Input,22
2010-10-26,2010-10-26,Mail - Recieved,7
2010-10-26,2010-10-26,Visit,458
2010-10-26,2010-10-26,Web - Input,930
2010-10-27,2010-10-27,Call - Input,3525
2010-10-27,2010-10-27,Fax - Input,55
2010-10-27,2010-10-27,Fax Acknowledgement - Input,13
2010-10-27,2010-10-27,Internal Management,39
2010-10-27,2010-10-27,Mail - Input,26
2010-10-27,2010-10-27,Mail - Recieved,8
2010-10-27,2010-10-27,Visit,427
2010-10-27,2010-10-27,Web - Input,716
2010-10-28,2010-10-28,Call - Input,3336
2010-10-28,2010-10-28,Fax - Input,55
2010-10-28,2010-10-28,Fax Acknowledgement - Input,14
2010-10-28,2010-10-28,Internal Management,19
2010-10-28,2010-10-28,Mail - Input,12
2010-10-28,2010-10-28,Mail - Recieved,4
2010-10-28,2010-10-28,Visit,421
2010-10-28,2010-10-28,Web - Input,653
2010-10-29,2010-10-29,Call - Input,3188
2010-10-29,2010-10-29,Fax - Input,52
2010-10-29,2010-10-29,Fax Acknowledgement - Input,11
2010-10-29,2010-10-29,Internal Management,37
2010-10-29,2010-10-29,Mail - Input,4
2010-10-29,2010-10-29,Mail - Recieved,7
2010-10-29,2010-10-29,Visit,399
2010-10-29,2010-10-29,Web - Input,530
2010-10-30,2010-10-30,Call - Input,290
2010-10-30,2010-10-30,Web - Input,287
2010-10-30,2010-10-31,Call - Input,1
2010-10-31,2010-10-31,Call - Input,145
2010-10-31,2010-10-31,Web - Input,276
2010-11-01,2010-11-01,Call - Input,141
2010-11-01,2010-11-01,Web - Input,406
2010-11-02,2010-11-02,Call - Input,4762
2010-11-02,2010-11-02,Fax - Input,46
2010-11-02,2010-11-02,Fax Acknowledgement - Input,11
2010-11-02,2010-11-02,Internal Management,28
2010-11-02,2010-11-02,Mail - Input,11
2010-11-02,2010-11-02,Mail - Recieved,4
2010-11-02,2010-11-02,Visit,575
2010-11-02,2010-11-02,Web - Input,583
2010-11-03,2010-11-03,Call - Input,4163
2010-11-03,2010-11-03,Fax - Input,61
2010-11-03,2010-11-03,Fax Acknowledgement - Input,15
2010-11-03,2010-11-03,Internal Management,46
2010-11-03,2010-11-03,Mail - Input,30
2010-11-03,2010-11-03,Mail - Recieved,15
2010-11-03,2010-11-03,Visit,521
2010-11-03,2010-11-03,Web - Input,676
2010-11-04,2010-11-04,Call - Input,4211
2010-11-04,2010-11-04,Fax - Input,49
2010-11-04,2010-11-04,Fax Acknowledgement - Input,14
2010-11-04,2010-11-04,Internal Management,41
2010-11-04,2010-11-04,Mail - Input,22
2010-11-04,2010-11-04,Mail - Recieved,3
2010-11-04,2010-11-04,Visit,480
2010-11-04,2010-11-04,Web - Input,638
2010-11-05,2010-11-05,Call - Input,3099
2010-11-05,2010-11-05,Fax - Input,45
2010-11-05,2010-11-05,Fax Acknowledgement - Input,7
2010-11-05,2010-11-05,Internal Management,30
2010-11-05,2010-11-05,Mail - Input,7
2010-11-05,2010-11-05,Mail - Recieved,7
2010-11-05,2010-11-05,Visit,401
2010-11-05,2010-11-05,Web - Input,613
2010-11-06,2010-11-06,Call - Input,148
